guid,name,capital,map,motto,nickname,inception,tags
H;_mZsJRoG,Alabama,Montgomery,"<img src=""Alabama.png"" />",Audemus jura nostra defendere (Latin: We dare defend our rights),The Yellowhammer State; The Heart of Dixie; and The Cotton State,"December 14, 1819",
p/b63~7yWL,Alaska,Juneau,"<img src=""Alaska.png"" />",North to the Future,The Last Frontier,"January 3, 1959",
xfGe?dFq#!,Arizona,Phoenix,"<img src=""Arizona.png"" />",Ditat Deus (God enriches),The Grand Canyon State; The Copper State; The Valentine State,"February 14, 1912",leech
y5d2Rib)|q,Arkansas,Little Rock,"<img src=""Arkansas.png"" />",Regnat populus (Latin: The People Rule),The Natural State (current) The Bear State (former),"June 15, 1836",
oK290hNNs},California,Sacramento,"<img src=""California.png"" />",Eureka,The Golden State,"September 9, 1850",
"it,=9^>gz^",Colorado,Denver,"<img src=""Colorado.png"" />",Nil sine numine(Latin: Nothing without providence),The Centennial State; Colo,"August 1, 1876",
rLWei%_uN9,Connecticut,Hartford,"<img src=""Connecticut.png"" />",Qui transtulit sustinet (Latin: He who transplanted still sustains),The Constitution State (official); The Nutmeg State; The Provisions State; The Land of Steady Habits,"January 9, 1788",
GfTqITr(Z5,Delaware,Dover,"<img src=""Delaware.png"" />",Liberty and Independence,The First State; The Small Wonder; Blue Hen State; The Diamond State,"December 7, 1787",
BEA?j<u;ow,Florida,Tallahassee,"<img src=""Florida.png"" />",In God We Trust,The Sunshine State,"March 3, 1845",
(=x_uZ:Wm,Georgia,Atlanta,"<img src=""Georgia (1).png"" />","Wisdom, Justice, Moderation",Peach State; Empire State of the South,"January 2, 1788",
N<VodJ~RW4,Hawaii,Honolulu,"<img src=""Hawaii.png"" />",Ua Mau ke Ea o ka ʻĀina i ka Pono (The Life of the Land Is Perpetuated in Righteousness),The Aloha State (official); Paradise of the Pacific; The Islands of Aloha; The 808 State,"August 21, 1959",
G6tJ`&^D%t,Idaho,Boise,"<img src=""Idaho.png"" />",Esto perpetua (Latin: for Let it be perpetual),Gem State,"July 3, 1890",
scUS/?;OHA,Illinois,Springfield,"<img src=""Illinois.png"" />","State Sovereignty, National Union",Land of Lincoln; Prairie State,"December 3, 1818",
m&`l&n_|`@,Indiana,Indianapolis,"<img src=""Indiana.png"" />",The Crossroads of America,The Hoosier State,"December 11, 1816",
L9Nlsx<3v$,Iowa,Des Moines,"<img src=""Iowa.png"" />",Our liberties we prize and our rights we will maintain.,Hawkeye State,"December 28, 1847",
xch8<p}4bE,Kansas,Topeka,"<img src=""Kansas.png"" />",Ad astra per aspera (Latin: for To the stars through difficulties),The Sunflower State (official); The Wheat State; The Jayhawker State; The Free State,"January 29, 1861",
"k{rU=,#Nk+",Kentucky,Frankfort,"<img src=""Kentucky.png"" />","United we stand, divided we fall; Deo gratiam habeamus(Let us be grateful to God)",Bluegrass State,"June 1, 1792",
M~XbG_==[G,Louisiana,Baton Rouge,"<img src=""Louisiana.png"" />","Union, Justice, Confidence",Bayou State; Creole State; Pelican State (official)Sportsman's Paradise; The Boot,"April 30, 1812",
d4@:Y`:zh3,Maine,Augusta,"<img src=""Maine.png"" />","Dirigo (Latin: for I lead, I guide, or I direct)",The Pine Tree State; Vacationland,"March 15, 1820",
Fvg&]p?w)A,Maryland,Annapolis,"<img src=""Maryland.png"" />","Fatti maschii, parole femine(English: Strong Deeds, Gentle Words) The Latin text encircling the seal: Scuto bonæ voluntatis tuæ coronasti nos (With Favor Wilt Thou Compass Us as with a Shield) Psalm 5:12",Old Line State; Free State; Little America; America in Miniature,"April 28, 1788",
"x;_;&h,,qU",Massachusetts,Boston,"<img src=""Massachusetts.png"" />","Ense petit placidam sub libertate quietem (Latin: By the sword we seek peace, but peace only under liberty)",The Bay State; The Pilgrim State; The Puritan State; The Old Colony State; The Baked Bean State,"February 6, 1788",
CP|GSQtcpI,Michigan,Lansing,"<img src=""Michigan.png"" />","Si quaeris peninsulam amoenam circumspice(English: If you seek a pleasant peninsula, look about you)",The Great Lake(s) State; The Wolverine State; The Mitten State; Water (Winter) Wonderland,"January 26, 1837",
hjT4Hw}#x-,Minnesota,Saint Paul,"<img src=""Minnesota.png"" />",L'Étoile du Nord (French: The Star of the North),"Land of 10,000 Lakes; North Star State; The Gopher State; Agate State; True North; State of Hockey.","May 11, 1858",
M$G)Eacjn_,Mississippi,Jackson,"<img src=""Mississippi.png"" />",Virtute et armis  (Latin: By valor and arms),The Magnolia State; The Hospitality State,"December 10, 1817",
jbX}ULsawy,Missouri,Jefferson City,"<img src=""Missouri.png"" />",Salus populi suprema lex esto (Latin: Let the good of the people be the supreme law),Show Me State; Cave State and Mother of the West,"August 10, 1821",
uJ[zJhq%4Z,Montana,Helena,"<img src=""Montana.png"" />",Oro y Plata (Spanish)Gold and Silver,Big Sky Country; The Treasure State,"November 8, 1889",
hE-]i;kLk-,Nebraska,Lincoln,"<img src=""Nebraska.png"" />",Equality before the law,Cornhusker State,"March 1, 1867",leech
xkiHfq57zS,Nevada,Carson City,"<img src=""Nevada.png"" />",All for Our Country,The Silver State (official); Sagebrush State; Battle Born State,"October 31, 1864",
Qs4PpKV7S2,New Hampshire,Concord,"<img src=""New-Hampshire.png"" />",Live Free or Die,The Granite State; White Mountain State,"June 21, 1788",
JYlx$ER8&t,New Jersey,Trenton,"<img src=""New-Jersey.png"" />",Liberty and prosperity,The Garden State,"December 18, 1787",
i:B!HE;@qc,New Mexico,Santa Fe,"<img src=""New-Mexico.png"" />",Crescit eundo (English: It grows as it goes),Land of Enchantment,"January 6, 1912",
bMY7|w{U=z,New York,Albany,"<img src=""New-York.png"" />",Excelsior (Latin: Ever upward),The Empire State,"July 26, 1788",
Ou&@J(Z5sm,North Carolina,Raleigh,"<img src=""North-Carolina.png"" />","Esse quam videri: To be, rather than to seem (official); First in Flight",Old North State; Tar Heel State,"November 21, 1789",
bqkqR{i6JU,North Dakota,Bismarck,"<img src=""North-Dakota.png"" />","Liberty and Union, Now and Forever, One and Inseparable","Peace Garden State,Roughrider State; Flickertail State","November 2, 1889",
CG^F-1lB;3,Ohio,Columbus,"<img src=""Ohio.png"" />","With God, all things are possible (1959)",The Buckeye State; Birthplace of Aviation; The Heart of It All,"March 1, 1803",
cC._p@e:Mp,Oklahoma,Oklahoma City,"<img src=""Oklahoma.png"">",Labor omnia vincit (Latin: Work conquers all),Native America; Land of the Red Man; Sooner State,"November 16, 1907",
3DGVQl$6?,Oregon,Salem,"<img src=""Oregon.png"" />",Alis volat propriis(English: She flies with her own wings),The Beaver State,"February 14, 1859",
O:UIC7s]n!,Pennsylvania,Harrisburg,"<img src=""Pennsylvania.png"" />","Virtue, Liberty and Independence",Keystone State; Quaker State,"December 12, 1787",
i4sb~KC?aq,Rhode Island,Providence,"<img src=""Rhode-Island.png"" />",Hope,The Ocean State; Little Rhody,"May 29, 1790",
kzm2O@P)xi,South Carolina,Columbia,"<img src=""South-Carolina.png"" />","Dum spiro spero* (Latin: 'While I breathe, I hope') Animis opibusque parati† (Latin: 'Prepared in mind and resources')",The Palmetto State,"May 23, 1788",
m6oUwA]M79,South Dakota,Pierre,"<img src=""South-Dakota.png"" />",Under God the People Rule,The Mount Rushmore State (official),"November 2, 1889",
hRPp!E^Y&b,Tennessee,Nashville,"<img src=""Tennessee.png"" />",Agriculture and Commerce,The Volunteer State,"June 1, 1796",
k7S-V|RZQ@,Texas,Austin,"<img src=""Texas.png"" />",Friendship,The Lone Star State,"December 29, 1846",
mtP!ZMw6$u,Utah,Salt Lake City,"<img src=""Utah.png"" />",Industry,Beehive State (official); The Mormon State; Deseret,"January 4, 1896",
dq)6{d_B28,Vermont,Montpelier,"<img src=""Vermont.png"" />",Freedom and Unity and Stella quarta decima fulgeat (May the 14th star shine bright),The Green Mountain State,"March 4, 1791",leech
"byn^,|A3HK",Virginia,Richmond,"<img src=""Virginia.png"" />",Sic semper tyrannis(English: Thus Always to Tyrants),Old Dominion; Mother of Presidents,"June 25, 1788",
"Jp,R9<uZO(",Washington,Olympia,"<img src=""Washington.png"" />","Al-ki or Alki, bye and bye in Chinook Jargon",The Evergreen State (unofficial),"November 11, 1889",
MXzlWG?.Kx,West Virginia,Charleston,"<img src=""West-Virginia.png"" />",Montani semper liberi(English: Mountaineers Are Always Free),Mountain State,"June 20, 1863",
pFT{W4cfl2,Wisconsin,Madison,"<img src=""Wisconsin.png"" />",Forward,Badger State; America's Dairyland (No official nickname),"May 29, 1848",
NS(O_q;<IB,Wyoming,Cheyenne,"<img src=""Wyoming.png"" />",Equal Rights,Equality State (official); Cowboy State; Big Wyoming,"July 10, 1890",
